Codigo,Area,Quartos,Banheiros,Suites,Vagas,Condominio,Endereco,IPTU,Titulo,Preco
104,75m2,3,2,1,1,489,"Rua Ilacir Pereira Lima, 497",101,apartamento para alugar no silveira,R$ 1.300
107,274m2,4,4,2,3,1.420,"Rua La Plata, 181",671,apartamento para alugar no sion,R$ 4.400
108,68m2,3,1,0,1,200,"Rua Cornélio Cerqueira, 855",67,apartamento para alugar no padre eustaquio,R$ 1.000
109,101m2,3,2,1,2,300,"Rua Pium-i, 1425",180,apartamento para alugar no anchieta,R$ 1.700
113,80m2,3,2,1,2,450,"Rua Edelzuith Frota Cruz, 25",124,apartamento para alugar no palmares,R$ 1.300
117,42m2,1,1,0,1,290,"Rua São Paulo, 1091",N/D,apartamento para alugar no lourdes,R$ 2.250
119,110m2,3,2,1,2,800,"Rua Ernani Agricola, 6",212,apartamento para alugar no buritis,R$ 1.900
122,42m2,1,1,0,1,290,"Rua São Paulo, 1091",N/D,apartamento para alugar no lourdes,R$ 2.900
123,120m2,4,4,2,4,1.300,"Rua Santa Rita Durão, 759",581,apartamento para alugar no funcionarios,R$ 4.800
124,94m2,3,2,1,2,1.200,"Rua Rodrigues Caldas, 501",415,apartamento para alugar no santo agostinho,R$ 3.500
125,123m2,4,3,1,3,1.058,"Rua Santa Rita Durão, 799",740,apartamento para alugar no funcionarios,R$ 5.200
126,130m2,3,3,1,2,1.300,"Rua Pium-i, 206",410,apartamento para alugar no cruzeiro,R$ 2.000
128,70m2,2,1,0,1,600,"Rua Deputado Bernardino De Sena Figueiredo, 945",109,apartamento para alugar no cidade nova,R$ 900
130,36m2,1,1,0,0,1.350,"Rua Timbiras, 1492",220,apartamento para alugar no funcionarios,R$ 1.200
131,100m2,3,2,1,2,1.500,"Rua Flórida, 123",348,apartamento para alugar no sion,R$ 2.000
132,40m2,1,1,1,1,395,"Rua São Paulo, 1636",116,apartamento para alugar no lourdes,R$ 1.500
133,50m2,1,2,1,1,750,"Rua Antônio Aleixo, 744",144,apartamento para alugar no lourdes,R$ 1.300
134,60m2,2,2,1,2,300,"Rua Professor Domício Murta, 80",N/D,apartamento para alugar no ouro preto,R$ 1.200
135,60m2,2,1,0,1,410,"Avenida Nossa Senhora Do Carmo, 1805",108,apartamento para alugar no sion,R$ 900
136,180m2,4,3,1,4,1.587,"Rua Muzambinho, 42",365,apartamento para alugar no anchieta,R$ 2.500
137,100m2,3,1,0,1,378,"Rua Oliveira, 294",139,apartamento para alugar no cruzeiro,R$ 1.300
138,80m2,3,2,1,2,649,"Rua Professor Morais, 629",467,apartamento para alugar no funcionarios,R$ 2.800
139,90m2,3,2,1,2,447,"Avenida Artur Bernardes, 216",281,apartamento para alugar no vila paris,R$ 2.300
140,140m2,4,2,1,2,800,"Rua Iraí, 577",350,apartamento para alugar no vila paris,R$ 2.400
141,140m2,4,4,2,2,1.018,"Rua Flavita Bretas, 609",406,apartamento para alugar no luxemburgo,R$ 2.500
143,140m2,4,4,2,2,1.018,"Rua Flavita Bretas, 609",401,apartamento para alugar no luxemburgo,R$ 3.000
147,42m2,1,1,0,1,580,"Rua Bernardo Guimarães, 2222",N/D,apartamento para alugar no lourdes,R$ 1.800
148,42m2,1,1,0,1,580,"Rua Bernardo Guimarães, 2222",N/D,apartamento para alugar no lourdes,R$ 2.000
149,42m2,1,1,0,1,580,"Rua Bernardo Guimarães, 2222",N/D,apartamento para alugar no lourdes,R$ 1.800
150,42m2,1,1,0,1,580,"Rua Bernardo Guimarães, 2222",N/D,apartamento para alugar no lourdes,R$ 2.000
151,30m2,1,1,0,1,450,"Rua Professor Morais, 72",N/D,apartamento para alugar no funcionarios,R$ 2.200
152,30m2,1,1,0,1,450,"Rua Professor Morais, 72",N/D,apartamento para alugar no funcionarios,R$ 2.200
153,30m2,1,1,0,1,450,"Rua Professor Morais, 72",N/D,apartamento para alugar no funcionarios,R$ 2.200
155,55m2,2,1,0,1,210,"Rua Vicente De Paulo Almeida, 134",68,apartamento para alugar no silveira,R$ 2.500
156,75m2,3,2,1,2,150,"Rua Saturno, 113",N/D,apartamento para alugar no ana lucia,R$ 1.300
157,90m2,3,2,1,2,700,"Rua Rádio, 20",255,apartamento para alugar no serra,R$ 2.400
159,160m2,4,2,1,3,1.108,"Rua Cristina, 807",286,apartamento para alugar no sao pedro,R$ 2.500
160,110m2,3,2,1,3,400,"Rua Assunção, 328",142,apartamento para alugar no sion,R$ 1.700
161,53m2,1,1,1,1,486,"Rua Pium-i, 1122",262,apartamento para alugar no anchieta,R$ 1.900
162,40m2,1,1,0,1,1.400,"Rua Pernambuco, 1045",222,apartamento para alugar no funcionarios,R$ 1.500
163,100m2,3,2,1,2,1.500,"Rua Flórida, 123",313,apartamento para alugar no sion,R$ 1.950
166,144m2,4,2,1,2,450,"Rua Pium-i, 1405",203,apartamento para alugar no anchieta,R$ 2.300
168,135m2,4,2,1,4,1.000,"Rua Bernardino De Campos, 50",305,apartamento para alugar no gutierrez,R$ 2.600
169,110m2,3,2,1,1,300,"Rua João Arantes, 28",142,apartamento para alugar no cidade nova,R$ 1.300
171,95m2,3,2,1,2,450,"Rua Professor Aníbal Mattos, 184",181,apartamento para alugar no santo antonio,R$ 1.500
172,70m2,2,2,1,2,470,"Rua Caetano Dias, 41",225,apartamento para alugar no serra,R$ 1.700
173,160m2,4,4,1,3,1.250,"Rua Mar De Espanha, 710",554,apartamento para alugar no santo antonio,R$ 4.900
174,45m2,2,1,0,1,150,"Avenida José Cleto, 1811",30,apartamento para alugar no palmares,R$ 800
178,80m2,3,2,1,2,200,"Rua Professor João Batista Alvarenga, 21",N/D,apartamento para alugar no concordia,R$ 1.100
179,85m2,3,2,1,2,315,"Avenida Das Castanholas, 244",128,apartamento para alugar no conjunto california,R$ 1.150
181,140m2,4,3,1,3,1.250,"Rua Conselheiro Andrade Figueira, 244",207,apartamento para alugar no gutierrez,R$ 1.500
182,110m2,3,2,1,1,235,"Rua Conde De Linhares, 1046",180,apartamento para alugar no cidade jardim,R$ 1.400
183,80m2,3,1,0,0,275,"Rua Padre Francisco Arantes, 151",100,apartamento para alugar no vila paris,R$ 1.180
184,130m2,3,2,1,1,500,"Rua Cassiporé, 429",174,apartamento para alugar no anchieta,R$ 1.850
185,95m2,3,2,1,3,1.300,"Rua Juvenal Melo Senra, 410",476,apartamento para alugar no belvedere,R$ 1.800
187,120m2,3,2,1,2,986,"Rua Equador, 140",145,apartamento para alugar no sao pedro,R$ 1.700
188,75m2,3,1,0,1,270,"Rua Cirá De Souza, 36",78,apartamento para alugar no fernao dias,R$ 1.200
189,100m2,3,2,1,2,820,"Avenida Silva Lobo, 2019",219,apartamento para alugar no grajau,R$ 2.000
191,55m2,2,1,0,1,291,"Avenida Joaquim José Diniz, 20",94,apartamento para alugar no fernao dias,R$ 900
